,insee,nom,bureau,bv_reconciliation
17590,57683,Uckange,57683_6,6
17591,57690,Valmont,57690_1,1
17592,57690,Valmont,57690_2,2
17593,57704,Veckring,57704_1,1
17594,57704,Veckring,57704_2,2
17595,57708,Verny,57708_1,1
17596,57752,Woustviller,57752_3,3
17603,57708,Verny,57708_2,2
17604,57714,Haute-Vigneulles,57714_1,1
17615,57757,Yutz,57757_9,9
17616,57760,Zetting,57760_1,1
17617,57760,Zetting,57760_2,2
37253,57177,Dieuze,57177_2,2
37254,57144,Cocheren,57144_1,1
37255,57160,Creutzwald,57160_22,22
37256,57163,Dabo,57163_3,3
37257,57195,Epping,57195_2,2
37263,57013,Alsting,57013_1,1
37265,57207,Farébersviller,57207_3,3
37266,57205,Falck,57205_1,1
37267,57206,Fameck,57206_13,13
37268,57227,Forbach,57227_12,12
37269,57240,Freyming-Merlebach,57240_2,2
37270,57096,Boulange,57096_2,2
37271,57124,Cattenom,57124_1,1
37272,57124,Cattenom,57124_2,2
37277,57021,Ancy-Dornot,57021_1,1
37278,57028,Argancy,57028_3,3
37279,57134,Châtel-Saint-Germain,57134_1,1
37280,57143,Clouange,57143_1,1
37281,57163,Dabo,57163_1,1
37282,57306,Hayange,57306_1,1
37283,57332,Hombourg-Haut,57332_6,6
37284,57343,Illange,57343_3,3
37285,57368,Knutange,57368_1,1
37286,57306,Hayange,57306_4,4
37287,57428,Macheren,57428_2,2
37288,57463,Metz,57463_161,161
37289,57209,Faulquemont,57209_6,6
37290,57221,Florange,57221_4,4
37291,57089,Bitche,57089_1,1
37292,57106,Bouzonville,57106_1,1
37293,57240,Freyming-Merlebach,57240_5,5
37294,57283,Hagondange,57283_9,9
37295,57287,Basse-Ham,57287_3,3
37296,57463,Metz,57463_131,131
37297,57463,Metz,57463_195,195
37299,57480,Montigny-lès-Metz,57480_32,32
37300,57463,Metz,57463_271,271
37301,57480,Montigny-lès-Metz,57480_41,41
37302,57441,Manom,57441_3,3
37303,57447,Marly,57447_2,2
37304,57463,Metz,57463_101,101
37305,57413,Longeville-lès-Saint-Avold,57413_2,2
37306,57415,Lorry-lès-Metz,57415_2,2
37307,57463,Metz,57463_201,201
37308,57463,Metz,57463_175,175
37309,57463,Metz,57463_191,191
37310,57463,Metz,57463_262,262
37311,57463,Metz,57463_381,381
37312,57474,Mondelange,57474_1,1
37313,57566,Réding,57566_3,3
37314,57606,Saint-Avold,57606_3,3
37318,57630,Sarrebourg,57630_5,5
37319,57631,Sarreguemines,57631_18,
37320,57672,Thionville,57672_16,16
37321,57672,Thionville,57672_7,7
37322,57480,Montigny-lès-Metz,57480_31,31
37324,57487,Moulins-lès-Metz,57487_1,1
37325,57508,Nilvange,57508_3,3
37326,57521,Œting,57521_1,1
37327,57566,Réding,57566_2,2
37328,57540,Phalsbourg,57540_1,1
37330,57566,Réding,57566_1,1
37331,57591,Rombas,57591_2,2
37332,57600,Roussy-le-Village,57600_1,1
37333,57606,Saint-Avold,57606_17,17
37334,57631,Sarreguemines,57631_17,
37335,57620,Sainte-Marie-aux-Chênes,57620_1,1
37336,57631,Sarreguemines,57631_1,1
37337,57733,Volstroff,57733_1,1
37338,57757,Yutz,57757_7,7
