,insee,nom,bureau,bv_reconciliation,bv_id
23875,72386,Yvré-l'Évêque,72386_5,5,72386_5
23878,72241,Montfort-le-Gesnois,72241_2,2,72241_2
23879,72241,Montfort-le-Gesnois,72241_3,3,72241_3
23885,72329,Savigné-l'Évêque,72329_1,1,72329_1
23886,72329,Savigné-l'Évêque,72329_2,2,72329_2
23887,72329,Savigné-l'Évêque,72329_3,3,72329_3
23888,72244,Précigné,72244_1,1,72244_1
23889,72253,Roëzé-sur-Sarthe,72253_1,1,72253_1
23890,72329,Savigné-l'Évêque,72329_4,4,72329_4
23891,72334,Sillé-le-Guillaume,72334_2,2,72334_2
23892,72344,Spay,72344_2,2,72344_2
23897,72253,Roëzé-sur-Sarthe,72253_2,2,72253_2
23907,72344,Spay,72344_3,3,72344_3
23908,72346,La Suze-sur-Sarthe,72346_1,1,72346_1
23909,72346,La Suze-sur-Sarthe,72346_2,2,72346_2
23910,72346,La Suze-sur-Sarthe,72346_3,3,72346_3
23911,72346,La Suze-sur-Sarthe,72346_4,4,72346_4
23914,72257,Rouillon,72257_1,1,72257_1
23919,72257,Rouillon,72257_2,2,72257_2
23920,7226,Ruaudin,72260_1,1,7226_1
38149,72181,Le Mans,72181_2,2,72181_2
38150,72181,Le Mans,72181_38,38,72181_38
38151,72181,Le Mans,72181_45,45,72181_45
38152,72061,La Chapelle-d'Aligné,72061_2,2,72061_2
38153,72181,Le Mans,72181_46,46,72181_46
38154,72181,Le Mans,72181_6,6,72181_6
38155,72181,Le Mans,72181_4,4,72181_4
38156,72181,Le Mans,72181_56,56,72181_56
38157,72181,Le Mans,72181_64,64,72181_64
38160,72181,Le Mans,72181_96,96,72181_96
38161,72187,Marigné-Laillé,72187_1,1,72187_1
38162,72231,Parigné-l'Évêque,72231_2,2,72231_2
38163,72025,Bazouges Cré sur Loir,72025_2,2,72025_2
38165,72181,Le Mans,72181_7,7,72181_7
38166,72264,Sablé-sur-Sarthe,72264_7,7,72264_7
38167,72269,Saint-Calais,72269_2,2,72269_2
38168,72035,Bessé-sur-Braye,72035_1,1,72035_1
38169,72287,Saint-Gervais-en-Belin,72287_2,2,72287_2
38170,7232,Saint-Saturnin,72320_1,1,7232_1
38171,72334,Sillé-le-Guillaume,72334_1,1,72334_1
